tconst averageRating numVotes
1000977437 1329013187 1438118208
100097948 1101107360 1437125105
1000979730 1845831679 2009547602
100098204 1566751959 189626870
1000984060 1416479967 24062237
100098460 1121467465 1324587081
1000985531 1273395803 711868417
1000986243 508765189 2009547602
1000988564 1116697199 1738205456
1000989259 1717409078 1833922075
1000989679 1121467465 2054498546
1000990133 1807934382 1889303936
1000990620 1510676963 1739056251
1000994647 2124199761 1398750601
1000996350 1184874685 730294304
1000998172 565257480 447401866
1000998329 1416479967 1426033548
1001000318 565257480 730294304
1001002901 953837881 750775706
10010053 1101107360 265279252
1001006750 1510676963 2047423388
1001008102 1039865072 1930345500
100101268 508765189 1427821762
1001012763 1662820050 2006574170
1001012952 61197209 648711808
1001013059 1116697199 1479557939
1001014213 1717409078 958604105
1001014424 492306891 664688301
1001014489 1099499392 2009547602
1001014581 296106993 677004469
1001015709 748886265 1738205456
1001015818 1836883491 2006574170
100101674 1513502347 518772144
1001019582 565257480 1437125105
1001020038 558587328 1529158853
1001021409 508765189 504345020
1001024379 1329013187 677004469
1001025485 1099499392 897327196
1001026261 1836883491 730294304
1001026484 1329013187 1739056251
1001028933 565257480 1739056251
1001030131 1918008968 853757737
1001030413 220645176 1427821762
1001031819 748886265 504345020
1001034121 61197209 98194111
1001035886 296106993 1284262562
1001037573 1121467465 1014880320
1001038327 1836883491 1387846562
100103888 1807934382 1402198397
1001039184 1231609043 534699180
1001041875 1943046654 677004469
1001042435 1807934382 2009547602
1001045370 1662820050 640989887
1001048074 389407232 1927213520
100104913 1836883491 1564782444
1001049980 1513502347 80313820
100105254 1689813014 1479557939
1001055389 1510676963 2103533408
1001056866 220645176 1771802022
1001060243 1999382690 650850574
1001060406 1390020420 1022023113
1001061600 565257480 1739056251
1001064259 1416479967 1738205456
1001064942 55896884 2006574170
1001068842 1807934382 1564782444
1001069091 1397408430 1426033548
100107073 492306891 1072442317
100107075 30744334 1479557939
1001074695 1943046654 1479557939
1001075327 1834528096 534699180
1001075439 1222142432 2103533408
1001077055 2082658893 1479557939
1001080269 1121467465 2006574170
1001083846 1836883491 7601776
1001084519 648300748 1952211397
100108500 508765189 88220196
1001085075 748886265 2009547602
1001085676 1943046654 750775706
1001090755 1380935213 460194299
1001090873 1101107360 1479557939
1001091129 1390020420 2103533408
1001091837 220645176 365684492
1001092100 508765189 1771802022
1001093635 1075433776 581508077
1001095037 1575002568 1586466606
1001095318 1834528096 1165093451
1001095705 719225004 1244495139
1001097824 1845831679 1821171059
1001098566 1390020420 1426033548
1001099737 1962196947 1479557939
1001100045 1834528096 833090460
1001100542 1807934382 1796540359
1001100823 1836883491 2103533408
100110241 1513502347 858342697
100110360 1689813014 1387846562
1001106557 276412279 1176015746
1001106683 1689813014 1930345500
1001106825 492306891 2006574170
1001107231 1266359958 2123296337
1001107369 1380935213 1427821762
1001109323 1689813014 1771802022
1001109422 1834528096 1431250141
1001109968 1390020420 1972574256
1001110390 1999382690 1427821762
1001114051 1845831679 1111555662
1001114667 762332187 2009547602
1001115586 508765189 730294304
1001116649 1807934382 251663639
1001117053 1242264039 1667889109
100111785 1101107360 534699180
1001121749 492306891 1402198397
1001122162 1836883491 1528671422
1001124413 565257480 1437125105
1001124612 1566751959 1426033548
1001126600 1943046654 534699180
1001128462 508765189 736454868
1001128826 508765189 677004469
1001128961 1724116551 1479557939
1001130589 1566751959 673309762
1001131386 2082658893 471690383
1001132632 61197209 648711808
1001133880 748886265 1904800591
1001133951 1329013187 1771802022
1001135705 1834528096 1808291305
1001135829 1999382690 7601776
1001137174 1380935213 209180230
1001138061 565257480 970554427
100113838 1513502347 750775706
1001138420 1807934382 506985877
1001138824 1099499392 677004469
1001143233 508765189 1426033548
1001143835 1999382690 1771802022
1001145295 1390020420 1593375463
1001147930 489106386 730294304
1001152972 1513502347 534699180
1001156675 1513502347 2006574170
1001157585 1662820050 1427821762
1001158083 61197209 1009955411
1001158090 1914318774 44692880
1001158601 61197209 1967417949
1001162884 1566751959 677004469
1001163293 1266359958 1111555662
1001165006 1380935213 1967417949
1001165581 1101107360 1771802022
1001165712 55896884 833090460
1001169041 225050775 1437125105
100117065 1619063395 7601776
1001171473 1231609043 1999075337
1001174487 605482159 1930345500
1001175482 1329013187 648711808
1001175588 1397408430 1111555662
1001177396 1834528096 808142553
100117741 1390020420 736639923
1001178345 719225004 487995787
10011786 492306891 24062237
1001181222 1101107360 684710514
1001181270 1689813014 730294304
100118253 1566751959 1833922075
1001185182 1836883491 2103533408
1001186101 1101107360 2009074703
100118727 1943046654 2006574170
1001189914 55896884 1009955411
1001193025 1962196947 1738205456
100119712 719225004 1427821762
1001201524 1689813014 1014880320
1001202281 1380935213 1426033548
1001202555 61197209 1738205456
1001203561 1689813014 1833922075
100120529 1266359958 351140872
1001206439 1513502347 2103533408
100120737 492306891 1147016553
1001208010 1397408430 7601776
10012126 1231609043 1479557939
1001218460 1513502347 1930345500
1001218881 492306891 853757737
1001218918 748886265 856708993
1001221571 1184874685 1426033548
1001221723 51475912 2103533408
1001223338 1689813014 902468930
1001223794 1390020420 2103533408
1001223991 492306891 1427821762
1001224182 508765189 1680150161
1001225272 1510676963 1111555662
1001225589 1914318774 648711808
1001227569 1513502347 1111555662
1001229159 1510676963 736639923
1001235188 1513502347 27592434
1001236695 1242264039 2033580260
1001236929 492306891 521529466
1001241128 1397408430 677004469
100124258 508765189 677004469
1001242958 276412279 1426033548
1001243575 1242264039 1500864118
1001246531 1101107360 868024982
1001247307 1101107360 1739056251
1001251747 55896884 1739056251
100125256 508765189 1426033548
1001254035 1807934382 1952877834
1001254303 1962196947 211815853
1001254769 1999382690 1402198397
1001255169 1943046654 1324587081
1001255676 1121467465 1387599592
1001261903 1962196947 534699180
100126380 1834528096 27592434
1001265148 1836883491 2054498546
1001267516 1717409078 1479557939
1001268028 55896884 677004469
1001271380 1724116551 1479557939
1001271461 508765189 1437125105
1001273451 1948897126 1036675556
1001273794 1943046654 1111555662
1001276504 748886265 706547551
1001277038 1575002568 1833922075
1001278239 1807934382 2027906840
1001283032 1834528096 2078399159
1001284192 51475912 933927003
1001285157 1231609043 88220196
1001286206 1662820050 581508077
1001286525 1566751959 1111555662
1001288520 1566751959 952218650
1001288676 1717409078 1466208520
1001295535 1619063395 730294304
1001297859 1222142432 1402198397
10013005 1807934382 1427821762
1001301287 51475912 312152148
1001301794 296106993 683558973
100130370 55896884 2009547602
1001305042 51475912 1910684006
1001306786 1416479967 1479557939
1001307330 1222142432 1257755411
1001308388 1329013187 88220196
1001311197 1582842673 1221681988
1001312099 1329013187 328256196
100131491 1807934382 730294304
1001318359 1566751959 2009547602
1001318646 1724116551 1479557939
1001319455 1116697199 1426033548
1001320245 492306891 736639923
1001321330 1689813014 1425871663
1001324986 225050775 1975419870
1001325064 1416479967 2103533408
1001325216 1845831679 2006574170
1001326499 1416479967 1964793040
1001330588 61197209 650850574
1001332079 1637065161 1426033548
1001335098 762332187 1426033548
1001335304 1222142432 2009547602
1001339295 1724116551 1111555662
1001339530 1513502347 1833922075
1001344260 1943046654 808142553
1001344821 1121467465 750775706
1001348294 1222142432 1564782444
1001349811 2124199761 1427821762
1001349977 1606851054 2006574170
1001354872 1606851054 1771802022
1001356605 1999382690 576890909
1001357940 1266359958 2036005724
1001361155 748886265 648711808
1001361357 1121467465 1944161322
100136229 1962196947 648711808
1001364716 1566751959 1466208520
1001366283 1943046654 2103533408
1001366498 1606851054 487995787
1001366637 1962196947 1111555662
1001368716 1717409078 750775706
