tconst parentTconst seasonNumber episodeNumber
1000102878 71516149 2093227591 2093227591
1000102880 994924681 1935597282 1906157682
1000102955 1860401951 1935597282 2080623877
1000103045 437561236 2093227591 2093227591
1000103089 383024202 1935597282 2109872842
1000103381 1054270346 1935597282 914181773
1000103591 1374651762 1935597282 1483406606
1000104007 765631592 2093227591 2093227591
1000104301 1794634493 1935597282 1330148899
1000104519 336295095 1296460517 1143558814
1000104942 1075738334 1935597282 1296460517
1000105311 704822048 2093227591 2093227591
1000105422 1029284105 1935597282 1857332362
1000105432 751143496 1935597282 1296460517
100010601 332493810 510687177 1296460517
1000106063 1560680663 1935597282 344075432
100010615 95581129 1935597282 1028975223
1000106534 560372141 1935597282 1945353820
1000106826 768834839 1935597282 1945353820
1000106844 1020146949 1906157682 1125156736
1000106857 870209599 1076155389 639098870
1000107025 644182687 1884490263 1129388262
1000107322 2115226042 1935597282 864131796
1000107468 1252945159 1935597282 2000230283
1000107886 1176993214 344075432 732363707
1000108040 1135558740 651461093 1125156736
1000108298 2064597184 1935597282 998975834
1000108486 873596000 1935597282 2125956125
100010874 1011361448 371193521 1952829654
1000109465 125146950 2093227591 2093227591
1000109982 986967954 1935597282 632568923
1000110063 1922096941 1935597282 1892637500
1000110117 373116460 2093227591 2093227591
1000112403 174465797 1935597282 1935597282
1000112594 819574741 1935597282 1906157682
1000113459 345006159 2093227591 2093227591
1000113658 1888351319 1935597282 886127182
100011391 916822760 2093227591 2093227591
1000114019 580573909 1574495735 163464495
1000114232 1635978297 2093227591 2093227591
1000114703 679428116 1935597282 1323629058
1000115002 257893104 1935597282 1948328691
1000115487 1846395291 1296460517 1945353820
1000115825 1375871121 1935597282 644545014
1000115879 1339397295 1935597282 1024091361
1000116458 1995116686 2093227591 2093227591
1000116892 527371913 1935597282 1906157682
1000116979 815169285 1296460517 1210269251
100011704 897468713 1935597282 195094073
100011708 1089054614 510687177 356195830
1000117097 519657913 1935597282 277511426
100011727 912207183 1935597282 1241497435
